route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
OFallon-Fairview Heights,3,000000,,13568,FFFFFF,12
Caseyville-Marybelle,3,000000,,13569,FFFFFF,13
Alta Sita,3,000000,,13566,FFFFFF,8
Washington Park,3,000000,,13567,FFFFFF,9
19th & Central - ML King,3,000000,,13564,FFFFFF,4
Rosemont-Fairmont City,3,000000,,13565,FFFFFF,6
Main Street - State Street,3,000000,,13562,FFFFFF,1
Cahokia,3,000000,,13563,FFFFFF,2
Ballas-North Hanley,3,000000,,13560,FFFFFF,98
Downtown Trolley,3,000000,,13561,FFFFFF,99
I-55 Express,3,000000,,13489,FFFFFF,40X
Belleville-Shiloh-OFallon,3,000000,,13481,FFFFFF,15
Memorial Hosp-Westfield Plaza,3,000000,,13480,FFFFFF,14
Carlyle Plaza-17th Street,3,000000,,13483,FFFFFF,17
St Clair Square,3,000000,,13482,FFFFFF,16
Scott AFB-Main Base Shuttle,3,000000,,13484,FFFFFF,21
Carondelet,3,000000,,13548,FFFFFF,73
Gold,3,000000,,13419,FFFFFF,1
Clayton-West County,3,000000,,13539,FFFFFF,58
Delmar,3,000000,,13559,FFFFFF,97
Kingshighway,3,000000,,13558,FFFFFF,95
Green Line,3,000000,,13591,FFFFFF,GL
Ferguson,3,000000,,13553,FFFFFF,79
Larimore,3,000000,,13552,FFFFFF,78
McDonnell-Lindbergh,3,000000,,13551,FFFFFF,77
Scott AFB-East Base Shuttle,3,000000,,13590,FFFFFF,21X
Page,3,000000,,13557,FFFFFF,94
Olive,3,000000,,13556,FFFFFF,91
Hampton,3,000000,,13555,FFFFFF,90
Park-Shaw,3,000000,,13554,FFFFFF,80
Florissant,3,000000,,13549,FFFFFF,74
Metrolink Station Shuttle,3,000000,,13498,FFFFFF,12X
Lebanon - Mascoutah,3,000000,,13499,FFFFFF,17X
Affton,3,000000,,13492,FFFFFF,110
North Express,3,000000,,13493,FFFFFF,174X
Twin Oaks Express,3,000000,,13491,FFFFFF,58X
Eureka Express,3,000000,,13496,FFFFFF,410X
Big Bend,3,000000,,13454,FFFFFF,68
Fenton-Gravois Bluffs,3,000000,,13494,FFFFFF,210
Clayton-Chesterfield,3,000000,,13495,FFFFFF,258
Waterford,3,000000,,13550,FFFFFF,76
Earth City,3,000000,,13525,FFFFFF,34
Big Bend,3,000000,,13544,FFFFFF,68
Grand,3,000000,,13545,FFFFFF,70
Parker,3,000000,,13546,FFFFFF,71
Monarch,3,000000,,13547,FFFFFF,72
Dogtown,3,000000,,13540,FFFFFF,59
Chambers Rd,3,000000,,13541,FFFFFF,61
Lucas Hunt,3,000000,,13542,FFFFFF,64
City Limits,3,000000,,13428,FFFFFF,16
Botanical Garden,3,000000,,13427,FFFFFF,14
Union,3,000000,,13426,FFFFFF,13
Chippewa,3,000000,,13425,FFFFFF,11
Gravois-Lindell,3,000000,,13424,FFFFFF,10
Bates-Morganford,3,000000,,13423,FFFFFF,8
Natural Bridge,3,000000,,13422,FFFFFF,4
Forest Park Trolley,3,000000,,13421,FFFFFF,3
Red,3,000000,,13420,FFFFFF,2
North Express,3,000000,,13583,FFFFFF,174X
Hazelwood,3,000000,,13438,FFFFFF,38
Berkeley-Florissant,3,000000,,13439,FFFFFF,39
