block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_65615,13456,0,TO NCTC,90754,1_merged_2179449,2157208
a_67101,13486R,1,TO LAMBERT AIRPORT TERMINAL #1,90912,1_merged_2179449,2161998
a_67127,13486R,1,TO LAMBERT AIRPORT TERMINAL #1,90912,1_merged_2179449,2161991
a_65617,13456,0,TO NCTC,90754,1_merged_2179449,2157201
a_67124,13486B,1,TO SHREWSBURY LANSDOWNE I-44,90908,1_merged_2179449,2161993
a_65617,13456,0,TO NCTC,90754,1_merged_2179449,2157203
a_65618,13456,0,TO NCTC,90754,1_merged_2179449,2157204
a_67103,13486B,1,TO SHREWSBURY LANSDOWNE I-44,90908,1_merged_2179449,2161994
a_67109,13486B,1,TO SHREWSBURY LANSDOWNE I-44,90908,1_merged_2179449,2161997
a_67121,13486B,1,TO SHREWSBURY LANSDOWNE I-44,90908,1_merged_2179449,2161996
b_69128,13563,0,CAHOKIA - TO 5TH & MO VIA AIRPORT,91258,1_merged_2179452,2174276
b_69131,13563,0,CAHOKIA - TO 5TH & MO VIA AIRPORT,91258,1_merged_2179452,2174277
b_69122,13563,0,CAHOKIA - TO 5TH & MO VIA AIRPORT,91258,1_merged_2179452,2174274
b_69129,13563,0,CAHOKIA - TO 5TH & MO VIA AIRPORT,91258,1_merged_2179452,2174275
b_69128,13563,0,CAHOKIA - TO 5TH & MO VIA AIRPORT,91258,1_merged_2179452,2174272
b_69131,13563,0,CAHOKIA - TO 5TH & MO VIA AIRPORT,91258,1_merged_2179452,2174273
b_69131,13563,0,CAHOKIA - TO 5TH & MO VIA WATER ST,91259,1_merged_2179452,2174270
b_69129,13563,0,CAHOKIA - TO 5TH & MO VIA AIRPORT,91258,1_merged_2179452,2174271
b_69122,13563,0,CAHOKIA - TO 5TH & MO VIA AIRPORT,91258,1_merged_2179452,2174278
b_69129,13563,0,CAHOKIA - TO 5TH & MO VIA AIRPORT,91258,1_merged_2179452,2174279
b_65703,13552,0,TO RIVERVIEW TC,91192,2_merged_2179454,2172300
b_65701,13552,0,TO RIVERVIEW TC,91192,2_merged_2179454,2172301
b_65703,13552,0,TO RIVERVIEW TC,91192,2_merged_2179454,2172302
b_65701,13552,0,TO RIVERVIEW TC,91192,2_merged_2179454,2172303
b_65702,13552,0,TO RIVERVIEW TC,91192,2_merged_2179454,2172304
b_65701,13552,0,TO RIVERVIEW TC,91192,2_merged_2179454,2172305
b_65702,13552,0,TO RIVERVIEW TC,91192,2_merged_2179454,2172306
b_65701,13552,0,TO RIVERVIEW TC,91189,2_merged_2179454,2172307
b_65706,13552,1,TO NORTH COUNTY TC,91195,2_merged_2179454,2172308
b_65705,13552,1,TO NORTH COUNTY TC,91195,2_merged_2179454,2172309
b_62634,13548,0,TO SOUTH COUNTY MALL,91173,2_merged_2179454,2171572
b_62632,13548,0,TO SOUTH COUNTY MALL,91173,2_merged_2179454,2171573
b_62637,13548,0,TO SOUTH COUNTY MALL,91173,2_merged_2179454,2171570
